Date,Open,High,Low,Close,Volume,Amount,Turnover
2026-02-03,466.0787505,475.76000043,461.81260631,472.56289003,9608746,4493199060.73,1.3274
2026-02-04,467.60736891,475.570172,464.0805565,470.1750482,6065710,2851083496.85,0.8379
2026-02-05,462.581911,472.0733325,455.07869253,469.69548164,7707065,3566880623.51,1.0647
2026-02-06,467.56740503,479.55656903,464.580105,471.80357631,8336437,3950399259.41,1.1516
2026-02-09,478.65738173,488.31864972,475.570172,483.562948,6953414,3360691566.38,0.9606
2026-02-10,487.50938115,487.50938115,479.8662891,482.4639413,4462013,2155197316.8,0.6164
2026-02-11,478.3676436,480.565657,470.574687,474.571075,4454099,2115590183.28,0.6153
2026-02-12,477.09879041,477.568366,470.96433483,474.62102985,5114860,2426322123.28,0.7062
2026-02-13,479.35674963,496.20152505,474.75091246,485.68103364,11062307,5412244735.93,1.5274
2026-02-24,491.3559046,493.553918,475.60014491,486.88994101,6782773,3294753841.97,0.9365
2026-02-25,488.02891159,499.22878896,480.33586469,495.552112,7889155,3883655146.45,1.0893
2026-02-26,495.552112,498.17973711,482.8635801,488.43854136,6789042,3313328018.57,0.9374
2026-02-27,480.68554864,481.564754,465.579202,471.45389236,8890423,4187505126.6,1.2275
2026-03-02,464.14050232,470.88440707,459.61459291,465.3793826,8285971,3850820274.08,1.1441
2026-03-03,465.56921103,469.34579769,445.67718976,445.75711752,7893303,3596900498.12,1.0899
2026-03-04,442.81977234,455.43836745,442.599971,448.3947336,6347014,2854673206.13,0.8764
2026-03-05,456.3875096,471.83354922,454.55916209,465.85894916,7981772,3707634148.72,1.1021
2026-03-06,463.07146853,470.93436192,460.46382536,464.95976186,4544288,2122639076.71,0.6274
2026-03-09,447.595456,453.14044435,435.1067435,452.23126608,9509381,4213740206.0,1.313
2026-03-10,458.585523,460.1840782,452.15133832,456.587329,5438901,2488145313.58,0.751
2026-03-11,456.51739221,462.26219996,449.65359582,461.57282303,6793463,3093329231.25,0.938
2026-03-12,456.587329,461.582814,450.43289148,457.57643503,6747761,3074791531.76,0.9317
2026-03-13,449.59365,464.2803759,448.6944627,457.46653436,6446872,2966622310.2,0.8901
2026-03-16,455.13863835,457.3866066,441.63084691,454.29939687,7365464,3305741077.97,1.017
2026-03-17,455.59822297,463.94068292,448.594553,449.59365,5399565,2468580509.71,0.7455
2026-03-18,453.2903089,463.581008,451.0922955,462.03240765,6599782,3026579754.21,0.9113
2026-03-19,457.17679623,464.76993343,453.60002897,461.21314811,5104343,2352971888.44,0.7048
2026-03-20,461.06328356,473.59195994,458.0859745,468.29674584,8138508,3819509328.02,1.1237
2026-03-23,461.0832655,461.582814,442.599971,443.98871583,7736931,3490316139.23,1.0683
2026-03-24,449.18402023,453.04053465,437.39467563,443.599068,4730933,2106050782.4,0.6532
2026-03-25,449.4937403,467.1777572,447.98510383,463.7808274,8733651,4041525503.81,1.2059
2026-03-26,459.14501732,461.1831752,445.2975329,445.70716267,6101129,2762834601.22,0.8424
2026-03-27,439.1031315,457.55645309,434.1076465,452.57095906,5805381,2599078395.89,0.8016
2026-03-30,443.70896867,469.58558097,441.72076564,468.41663748,8080625,3706791311.63,1.1157
2026-03-31,464.4801953,466.56830803,446.596359,446.596359,6956601,3161360380.47,0.9605
2026-04-01,454.7889544,460.82350028,449.61363194,450.12317141,6335503,2890025430.03,0.8748
2026-04-02,450.18311723,451.3920246,434.82699634,437.604486,7491523,3301989550.13,1.0344
2026-04-03,438.7034927,440.2021382,423.67707382,426.06491565,6688506,2875203482.75,0.9235
2026-04-07,424.67617082,430.610807,421.86870825,423.69705576,4582385,1950908380.02,0.6327
2026-04-08,436.605389,465.54922909,436.605389,463.56102606,14194804,6447293264.85,1.9599
2026-04-09,460.583717,477.568366,457.59641697,472.41302548,9302856,4380051603.86,1.2845
2026-04-10,474.571075,483.97257777,474.571075,476.45936833,7758320,3723635012.56,1.0712
2026-04-13,475.4702623,480.0661085,466.7781184,472.0733325,6508971,3084163128.58,0.8987
2026-04-14,477.568366,491.555724,475.68007267,481.1651152,7411360,3586896149.53,1.0233
2026-04-15,482.62379682,484.562045,473.56198703,474.571075,6395140,3065523284.7,0.883
2026-04-16,474.571075,477.44847436,467.21772108,473.13237532,6324788,2981816294.76,0.8733
2026-04-17,469.57559,476.0697205,464.3802856,469.48567127,9546522,4481463210.66,1.3181
2026-04-20,446.596359,475.70005461,444.598165,470.80447931,18683743,8616839068.34,2.5797
2026-04-21,471.53382012,471.573784,446.30662087,449.95332492,16005608,7231305511.2,2.2099
2026-04-22,448.594553,477.568366,447.595456,477.51841115,17438281,8193670757.78,2.4078
2026-04-23,477.568366,484.51209015,470.15506626,474.571075,9735285,4647452972.12,1.3442
2026-04-24,474.60104791,484.78184634,463.3811886,472.2731519,12979344,6164129851.71,1.7921
2026-04-27,480.7654764,519.4305303,475.53020812,515.78382625,20432930,10278053348.98,2.8212
2026-04-28,511.07807938,536.76486325,503.544888,516.74295937,13825357,7207868963.68,1.9089
2026-04-29,509.75927134,516.75295034,501.7465134,510.24882887,9302570,4737543676.01,1.2844
2026-04-30,518.71118046,540.67133252,506.63209773,536.50509803,16592589,8805165447.81,2.291
2026-05-06,554.498835,566.487999,544.507865,544.85754895,16027771,8898490130.65,2.213
2026-05-07,554.498835,556.20729087,534.516895,551.64141758,9722165,5339398130.96,1.3424
