Date,Open,High,Low,Close,Volume,Amount
2026-02-09,14.5358,14.9789,14.5358,14.7284,12487731.0,191523022.0
2026-02-10,14.9307,15.5857,14.4491,15.5376,20705574.0,325157566.0
2026-02-11,15.5376,15.7206,15.316,15.605,10416214.0,168242811.0
2026-02-12,15.9036,17.4737,15.9036,16.9536,37477014.0,660270848.0
2026-02-13,16.7417,16.7417,15.5376,15.6532,37010365.0,610788839.0
2026-02-16,15.6724,16.5683,15.6724,16.5683,5724000.0,97329050.0
2026-02-20,17.5797,17.8302,17.1751,17.6182,16396265.0,298974108.0
2026-02-23,17.7338,17.8302,17.1462,17.4834,8438000.0,151950872.0
2026-02-24,17.8205,18.4948,17.1848,18.148,47426901.0,877788545.0
2026-02-25,18.4948,20.1516,18.0132,18.3214,81049126.0,1597959985.0
2026-02-26,18.5141,18.9572,18.0228,18.2444,38001231.0,721681088.0
2026-02-27,18.2733,18.6875,17.4737,18.1384,43999710.0,823593296.0
2026-03-02,20.1324,20.5755,17.4159,19.7471,155747245.0,3071521889.0
2026-03-03,20.248,21.4232,19.1498,20.1324,155027660.0,3295057830.0
2026-03-04,19.4581,19.4581,13.2546,18.0421,144262896.0,2655096116.0
2026-03-05,18.2829,18.3696,16.8765,17.7049,119183911.0,2178676668.0
2026-03-06,17.3389,18.5719,16.9536,18.2829,66816844.0,1233010512.0
2026-03-09,19.1595,19.4581,16.4238,16.732,78392240.0,1401084908.0
2026-03-10,16.3756,17.965,16.366,17.387,63504645.0,1146352949.0
2026-03-11,17.4834,18.1095,17.0595,17.6664,34386440.0,627127461.0
2026-03-12,17.7242,17.965,17.0403,17.387,24582500.0,440922849.0
2026-03-13,17.1173,17.6857,16.7513,16.9247,29473612.0,525237027.0
2026-03-16,16.9247,18.437,16.838,18.3696,38004226.0,703556134.0
2026-03-17,18.3696,18.543,17.3485,17.5123,28771638.0,531552030.0
2026-03-18,17.4352,19.2558,17.4256,18.8705,52186010.0,1007763721.0
2026-03-19,18.8705,19.1691,18.1191,18.6297,40251461.0,776053936.0
2026-03-20,18.9957,19.0342,18.1866,18.5044,31420469.0,606294633.0
2026-03-23,18.4948,19.5544,18.3696,18.9764,53301539.0,1045108363.0
2026-03-24,19.2847,20.8645,18.9764,20.4599,68749755.0,1436839680.0
2026-03-25,20.7103,21.5773,19.6122,20.2672,53589154.0,1133142921.0
2026-03-26,20.2672,20.2672,18.6008,18.7067,41428380.0,819602205.0
2026-03-27,18.1577,18.8512,17.6375,18.2829,43027506.0,817075489.0
