Date,Open,High,Low,Close,Volume,Amount,Turnover
2026-02-03,841.603,843.467268,712.8478,756.4368,22614455,25622515727.16,5.4056
2026-02-04,737.66,743.42716,713.498282,716.2008,11735129,12657885599.85,2.8051
2026-02-05,704.136706,719.540388,695.439024,709.716098,7942115,8357564075.67,1.8984
2026-02-06,699.13403,712.633208,681.034536,695.405494,7981348,8272185154.81,1.9078
2026-02-09,710.836,741.643364,708.1536,728.80808,9653639,10462460031.54,2.3075
2026-02-10,741.013,769.8488,732.013548,738.26354,9660120,10796371349.19,2.3091
2026-02-11,730.202928,739.6718,719.5538,723.51034,5527311,5983828107.52,1.3212
2026-02-12,724.234588,751.072,711.727898,746.0425,8685714,9502364158.91,2.0762
2026-02-13,737.66,766.4958,733.039566,751.528008,7056945,7918250311.59,1.6869
2026-02-24,761.975956,765.8252,717.67612,718.58143,8187709,8894584850.55,1.9571
2026-02-25,724.241294,743.6954,720.2244,726.02509,5760623,6266293048.21,1.377
2026-02-26,734.40759,797.262928,716.697044,783.79728,14083847,16034677282.77,3.3665
2026-02-27,767.850412,812.847672,765.375898,789.9668,12151165,14322223946.21,2.9045
2026-03-02,771.19,810.45363,766.536036,799.28814,8821975,10389211104.05,2.1088
2026-03-03,802.7082,803.968928,757.771294,759.82333,7537116,8732618337.21,1.8016
2026-03-04,752.4132,776.561506,744.366,749.113848,5898695,6656512147.68,1.41
2026-03-05,770.304808,802.051012,752.426612,783.2608,8539945,9922297386.68,2.0413
2026-03-06,777.896,786.841804,769.889036,774.462528,4523467,5238659045.8,1.0813
2026-03-09,751.072,760.29275,732.959094,755.088894,6025840,6690959588.22,1.4404
2026-03-10,770.505988,777.896,761.137706,769.24526,5020293,5750878845.22,1.2
2026-03-11,774.543,777.2254,733.20051,736.9894,7621059,8594431103.4,1.8217
2026-03-12,736.9894,751.87672,722.812916,736.9894,6262527,6863561916.82,1.497
2026-03-13,745.110366,755.79973,727.580882,735.04466,9290621,10301354225.02,2.2208
2026-03-16,729.653036,733.039566,702.091376,730.933882,6695672,7211654650.38,1.6005
2026-03-17,730.866822,751.065294,718.219306,724.241294,5532089,6045178215.63,1.3224
2026-03-18,726.420744,729.6128,702.896096,714.8596,6839317,7258997344.58,1.6348
2026-03-19,700.783706,705.994268,692.179908,695.425612,4885275,5089266820.72,1.1677
2026-03-20,696.880814,714.62489,671.277306,687.365,10195162,10508394227.84,2.437
2026-03-23,672.2765,684.3473,649.1408,651.35378,8151520,8094829806.47,1.9485
2026-03-24,660.541,695.94868,650.495412,689.7121,9059606,9111327946.1,2.1656
2026-03-25,690.718,712.11014,685.99027,696.7534,8971388,9359463115.27,2.1445
2026-03-26,697.424,716.656808,682.791508,687.29794,4994724,5183511265.13,1.1939
2026-03-27,673.953,696.11633,673.953,686.6944,5042257,5154200457.15,1.2053
2026-03-30,673.664642,680.659,667.206764,676.93717,5226918,5249779442.24,1.2494
2026-03-31,671.310836,683.998588,659.1998,659.1998,5075376,5072933425.02,1.2132
2026-04-01,675.9648,713.5184,675.9648,705.06884,10000913,10410610082.06,2.3906
2026-04-02,700.783706,706.450276,668.494316,669.922694,7091466,7184207985.86,1.6951
2026-04-03,677.306,697.424,669.9294,687.83442,6224472,6355115333.43,1.4879
2026-04-07,686.0238,768.5076,684.689306,750.4014,14082900,15532637044.98,3.3663
2026-04-08,777.29246,783.917988,763.1428,780.5784,10483254,12135960240.94,2.5059
2026-04-09,777.896,819.620732,771.8606,803.3788,9750872,11687631028.86,2.3308
2026-04-10,808.073,819.620732,797.27634,811.89542,9003652,10839608534.1,2.1522
2026-04-13,806.067906,839.99356,806.007552,817.877172,7879142,9684560234.22,1.8834
2026-04-14,821.478294,837.44528,808.803954,832.871788,7703170,9413266659.2,1.8413
2026-04-15,832.8852,890.027026,830.927048,854.3444,12429888,16061962461.17,2.9712
2026-04-16,858.368,881.839,853.016612,876.4742,7796484,10107382521.29,1.8489
2026-04-17,871.692822,904.954582,865.074,894.5804,7210520,9612455944.09,1.7099
2026-04-20,899.2746,924.22092,889.322896,924.22092,7519583,10224177312.78,1.7832
2026-04-21,912.6866,917.461272,877.1448,891.898,8179094,10897674222.47,1.9396
